ID,Name,Age,Department,Salary,Experience_Years,Performance_Score,Joining_Date
1001,Grace,25.0,HR,50000.0,25.0,2.2,2010-01-01
1002,David,25.0,it,62000.0,25.0,2.1,2010-01-02
1003,Hannah,25.0,finance,60000.0,5.0,2.4,2010-01-03
1004,Emma,40.0,Marketing,55000.0,,1.4,2010-01-04
1005,Grace,25.0,Finance,,20.0,4.7,2010-01-05
1006,Jack,,Marketing,60000.0,20.0,3.2,2010-01-06
1007,Charlie,35.0,Marketing,70000.0,25.0,2.2,2010-01-07
1008,Grace,35.0,Marketing,60000.0,20.0,2.6,2010-01-08
1009,Hannah,25.0,finance,60000.0,1.0,2.8,2010-01-09
1010,Emma,40.0,Marketing,,25.0,3.4,2010-01-10
1011,David,40.0,Sales,70000.0,25.0,3.1,2010-01-11
1012,Hannah,,finance,62000.0,15.0,4.7,2010-01-12
1013,Hannah,25.0,Sales,62000.0,20.0,3.0,2010-01-13
1014,Charlie,35.0,finance,60000.0,,5.0,2010-01-14
1015,Frank,40.0,it,70000.0,25.0,4.4,2010-01-15
1016,Emma,25.0,IT,70000.0,,1.8,2010-01-16
1017,Bob,40.0,HR,,1.0,4.7,2010-01-17
1018,Hannah,40.0,Marketing,55000.0,15.0,1.5,2010-01-18
1019,Frank,35.0,it,62000.0,5.0,4.3,2010-01-19
1020,Bob,30.0,IT,,,2.5,2010-01-20
1021,Emma,,HR,50000.0,25.0,4.5,2010-01-21
1022,Alice,,hr,62000.0,1.0,4.5,2010-01-22
1023,Jack,35.0,Finance,,10.0,4.2,2010-01-23
1024,Frank,40.0,Sales,62000.0,1.0,4.2,2010-01-24
1025,Ian,25.0,hr,55000.0,1.0,2.2,2010-01-25
1026,Alice,40.0,finance,50000.0,15.0,1.3,2010-01-26
1027,Jack,35.0,HR,55000.0,5.0,2.6,2010-01-27
1028,Charlie,,hr,50000.0,10.0,1.7,2010-01-28
1029,Grace,40.0,Finance,60000.0,20.0,3.8,2010-01-29
1030,David,,it,,20.0,2.4,2010-01-30
1031,Ian,25.0,HR,50000.0,,4.9,2010-01-31
1032,Charlie,,hr,55000.0,1.0,3.6,2010-02-01
1033,Emma,,Sales,62000.0,15.0,4.3,2010-02-02
