ID,Name,Age,Department,Salary,Experience_Years,Performance_Score,Joining_Date
1001,Grace,51,Finance,84064,29,2.8,2010-01-01
1002,David,38,Sales,47813,31,1.8,2010-01-02
1003,Hannah,41,HR,71598,16,1.7,2010-01-03
1004,Emma,46,Sales,67082,30,1.4,2010-01-04
1005,Grace,43,HR,69241,16,2.4,2010-01-05
1006,Jack,34,IT,84569,12,4.0,2010-01-06
1007,Charlie,40,Marketing,51745,17,2.1,2010-01-07
1008,Grace,57,HR,66029,16,2.2,2010-01-08
1009,Hannah,33,Sales,53025,12,3.6,2010-01-09
1010,Emma,40,IT,54288,8,1.8,2010-01-10
1011,David,33,HR,46540,20,4.6,2010-01-11
1012,Hannah,30,Finance,108878,3,3.1,2010-01-12
1013,Hannah,28,Marketing,81846,16,2.8,2010-01-13
1014,Charlie,49,HR,115932,30,3.2,2010-01-14
1015,Frank,35,IT,57482,23,1.7,2010-01-15
1016,Emma,52,Finance,63411,28,3.5,2010-01-16
1017,Bob,40,IT,90975,5,2.5,2010-01-17
1018,Hannah,37,IT,100545,20,4.6,2010-01-18
1019,Frank,26,Finance,118797,1,1.7,2010-01-19
1020,Bob,56,IT,92307,30,3.0,2010-01-20
1021,Emma,33,Finance,43093,21,3.4,2010-01-21
1022,Alice,46,HR,117258,20,1.1,2010-01-22
1023,Jack,42,Finance,62042,6,2.5,2010-01-23
1024,Frank,57,Finance,92930,22,3.9,2010-01-24
1025,Ian,44,Marketing,84413,18,4.3,2010-01-25
1026,Alice,37,Finance,73756,8,2.3,2010-01-26
1027,Jack,35,Finance,93268,32,4.2,2010-01-27
1028,Charlie,52,HR,79214,33,4.9,2010-01-28
1029,Grace,26,Marketing,68602,16,4.4,2010-01-29
1030,David,56,Sales,93331,12,1.5,2010-01-30
1031,Ian,44,HR,88901,34,4.0,2010-01-31
1032,Charlie,50,HR,103416,14,2.3,2010-02-01
1033,Emma,32,Sales,72196,33,5.0,2010-02-02
1034,Charlie,39,Finance,45626,23,2.9,2010-02-03
1035,Grace,33,IT,47424,2,1.5,2010-02-04
1036,Emma,30,Marketing,52857,21,3.9,2010-02-05
1037,Ian,31,IT,59982,2,2.3,2010-02-06
1038,Grace,38,Sales,116961,27,5.0,2010-02-07
1039,Bob,59,HR,41980,9,4.9,2010-02-08
1040,David,28,HR,88290,1,3.6,2010-02-09
1041,Ian,34,Marketing,66431,11,1.5,2010-02-10
1042,Bob,30,HR,66385,3,3.7,2010-02-11
1043,Jack,48,HR,78158,23,1.4,2010-02-12
1044,Ian,23,Marketing,63019,26,1.1,2010-02-13
1045,Jack,26,Marketing,58639,4,4.3,2010-02-14
1046,Emma,50,Sales,61563,18,1.8,2010-02-15
1047,Bob,58,HR,79341,6,2.5,2010-02-16
1048,David,59,HR,45776,22,4.9,2010-02-17
1049,Grace,40,Sales,76444,15,2.3,2010-02-18
1050,Hannah,29,Finance,108916,22,2.2,2010-02-19
1051,Charlie,22,Finance,48711,12,4.7,2010-02-20
1052,Alice,43,Finance,114318,18,1.4,2010-02-21
1053,David,38,Sales,70707,30,4.0,2010-02-22
1054,Bob,28,HR,79110,24,5.0,2010-02-23
1055,Hannah,46,Sales,101788,30,4.6,2010-02-24
1056,David,25,Sales,78827,14,3.6,2010-02-25
1057,Bob,57,Finance,45655,6,2.3,2010-02-26
1058,Frank,27,IT,84859,3,2.0,2010-02-27
1059,Frank,52,HR,93625,16,4.3,2010-02-28
1060,Jack,40,Finance,92098,7,4.5,2010-03-01
1061,David,48,IT,55251,14,3.1,2010-03-02
1062,Frank,31,IT,40526,9,2.0,2010-03-03
1063,Bob,47,Marketing,108760,15,1.5,2010-03-04
1064,Jack,40,HR,87837,21,1.3,2010-03-05
1065,Bob,24,IT,51536,2,3.9,2010-03-06
1066,Jack,34,Finance,68541,27,2.7,2010-03-07
1067,David,49,Marketing,119083,2,4.6,2010-03-08
1068,Hannah,41,HR,91027,18,4.0,2010-03-09
1069,Grace,49,Sales,74531,14,1.8,2010-03-10
1070,Ian,29,Finance,48712,20,3.5,2010-03-11
1071,Hannah,22,IT,105455,18,2.7,2010-03-12
1072,Emma,24,IT,114744,10,3.3,2010-03-13
1073,Bob,34,Finance,45109,25,4.0,2010-03-14
1074,Emma,49,IT,89268,2,4.2,2010-03-15
1075,Hannah,46,Marketing,94615,25,4.4,2010-03-16
1076,Jack,54,HR,69759,33,2.0,2010-03-17
1077,Ian,59,Marketing,100112,31,1.1,2010-03-18
1078,Ian,27,IT,66589,14,4.0,2010-03-19
1079,Alice,53,Sales,70015,1,1.4,2010-03-20
1080,Ian,42,HR,69009,16,2.3,2010-03-21
1081,Grace,37,HR,102046,3,1.0,2010-03-22
1082,Ian,42,Finance,66143,6,3.7,2010-03-23
1083,Hannah,32,Finance,46154,25,1.7,2010-03-24
1084,Alice,58,Sales,61804,13,3.6,2010-03-25
1085,Hannah,57,HR,81688,34,5.0,2010-03-26
1086,Hannah,56,Sales,104288,8,1.3,2010-03-27
1087,Charlie,40,Finance,91195,21,1.3,2010-03-28
1088,Alice,41,Finance,60581,34,2.4,2010-03-29
1089,Hannah,39,HR,92648,4,4.5,2010-03-30
1090,Charlie,35,Marketing,70087,25,1.9,2010-03-31
1091,Charlie,36,IT,89930,15,2.4,2010-04-01
1092,Alice,52,Finance,72981,4,1.3,2010-04-02
1093,Emma,22,Finance,109298,12,4.1,2010-04-03
1094,Jack,24,Marketing,86167,32,2.6,2010-04-04
1095,Grace,37,Marketing,115304,32,4.0,2010-04-05
1096,Jack,44,Sales,83408,28,4.6,2010-04-06
1097,Ian,32,Sales,79499,13,1.9,2010-04-07
1098,Grace,33,IT,92269,31,4.2,2010-04-08
1099,Ian,31,IT,78559,14,1.2,2010-04-09
1100,Hannah,53,HR,114319,20,4.6,2010-04-10
1101,Bob,37,Sales,88787,18,3.6,2010-04-11
